Algorithm,AMER
Restaurant,Estimated,Actual,Reserved,Sold,Cancelled,Waste,Revenue,Exposures
Krispy Kreme,4,3,4,24,4,0,1920.00,117
TBS Pizza,5,4,5,31,4,0,4650.00,151
Starbucks,5,4,5,31,4,0,3100.00,146
Paul Bakery,4,3,4,24,4,0,2160.00,147
Costa Coffee,6,5,6,38,4,0,3230.00,160
Greggs,25,24,25,171,8,0,11970.00,286
Pizza Hut,7,6,7,45,5,0,6300.00,210
Pret A Manger,5,4,5,31,3,0,2945.00,139
Subway,22,21,16,150,2,0,16500.00,262
Tim Hortons,8,7,4,48,0,3,3840.00,109
Dunkin Donuts,6,5,6,38,3,0,2850.00,148
Domino's Pizza,20,19,0,9,0,127,1170.00,8
Cinnabon,4,3,4,24,2,0,2040.00,97
Caribou Coffee,18,17,0,0,0,121,0.00,0
Panera Bread,19,18,4,42,0,86,3990.00,75
