Algorithm,ANDREW
Restaurant,Estimated,Actual,Reserved,Sold,Cancelled,Waste,Revenue,Exposures
Krispy Kreme,4,3,4,24,4,0,1920.00,93
TBS Pizza,5,4,5,31,4,0,4650.00,180
Starbucks,5,4,5,31,4,0,3100.00,134
Paul Bakery,4,3,4,24,4,0,2160.00,151
Costa Coffee,6,5,6,38,4,0,3230.00,180
Greggs,25,24,25,171,8,0,11970.00,524
Pizza Hut,7,6,7,45,5,0,6300.00,222
Pret A Manger,5,4,5,31,3,0,2945.00,173
Subway,22,21,22,150,3,0,16500.00,558
Tim Hortons,8,7,4,51,0,0,4080.00,420
Dunkin Donuts,6,5,6,38,4,0,2850.00,213
Domino's Pizza,20,19,1,6,0,130,780.00,46
Cinnabon,4,3,3,24,1,0,2040.00,340
Caribou Coffee,18,17,0,0,0,121,0.00,13
Panera Bread,19,18,1,39,0,89,3705.00,253
